subject,topic,year,marks,question_type,difficulty,occurrence_count,importance_score
DBMS,ER Model,2021,8,MCQ,Easy,2,0.7
DBMS,ER Model,2024,8,Theory,Easy,2,0.96
DBMS,Normalization,2021,12,Problem,Medium,1,0.71
DBMS,SQL,2020,10,Theory,Easy,3,0.51
DBMS,SQL,2023,8,Short Answer,Hard,3,0.67
DBMS,SQL,2025,15,Problem,Medium,3,0.79
DBMS,Transactions,2025,15,Long Answer,Easy,3,0.78
DBMS,Transactions,2023,10,Short Answer,Medium,3,0.86
DBMS,Transactions,2024,8,Short Answer,Hard,3,0.61
DBMS,Indexing,2024,15,Long Answer,Hard,3,0.96
DBMS,Indexing,2022,15,Problem,Hard,3,0.82
DBMS,Indexing,2025,12,Theory,Hard,3,0.88
DBMS,Joins,2022,5,Long Answer,Medium,6,0.69
DBMS,Joins,2020,5,Long Answer,Medium,6,0.64
DBMS,Joins,2025,5,Short Answer,Easy,6,0.6
DBMS,Joins,2021,15,MCQ,Hard,6,0.67
DBMS,Joins,2024,12,Theory,Hard,6,0.63
DBMS,Joins,2021,10,MCQ,Medium,6,0.69
DBMS,Functional Dependencies,2024,12,MCQ,Hard,2,0.85
DBMS,Functional Dependencies,2021,5,Short Answer,Hard,2,0.95
DBMS,Concurrency Control,2024,5,Long Answer,Medium,3,0.8
DBMS,Concurrency Control,2023,15,Long Answer,Hard,3,0.64
DBMS,Concurrency Control,2024,15,MCQ,Medium,3,0.88
Data Structures,Arrays,2020,8,Problem,Medium,4,0.8
Data Structures,Arrays,2020,12,Theory,Hard,4,0.98
Data Structures,Arrays,2024,15,Theory,Medium,4,0.95
Data Structures,Arrays,2022,15,MCQ,Easy,4,0.86
Data Structures,Linked Lists,2021,15,Short Answer,Easy,6,0.77
Data Structures,Linked Lists,2021,12,Short Answer,Hard,6,0.91
Data Structures,Linked Lists,2025,15,MCQ,Easy,6,0.94
Data Structures,Linked Lists,2025,8,Theory,Easy,6,0.83
Data Structures,Linked Lists,2025,10,MCQ,Medium,6,0.93
Data Structures,Linked Lists,2022,10,MCQ,Hard,6,0.52
Data Structures,Stacks,2023,12,MCQ,Easy,1,0.53
Data Structures,Queues,2022,15,MCQ,Medium,2,0.5
Data Structures,Queues,2025,8,Problem,Easy,2,0.83
Data Structures,Trees,2024,12,Long Answer,Medium,5,0.82
Data Structures,Trees,2024,5,Theory,Medium,5,0.9
Data Structures,Trees,2025,15,Problem,Easy,5,0.65
Data Structures,Trees,2023,15,MCQ,Easy,5,0.6
Data Structures,Trees,2024,8,Theory,Hard,5,0.97
Data Structures,Graphs,2020,10,MCQ,Hard,4,0.76
Data Structures,Graphs,2024,10,Problem,Medium,4,0.98
Data Structures,Graphs,2023,8,MCQ,Medium,4,0.79
Data Structures,Graphs,2020,5,Short Answer,Medium,4,0.97
Data Structures,Sorting,2024,5,MCQ,Hard,3,0.62
Data Structures,Sorting,2025,10,Short Answer,Hard,3,0.82
Data Structures,Sorting,2024,15,Problem,Medium,3,0.68
Data Structures,Dynamic Programming,2024,10,Theory,Hard,6,0.85
Data Structures,Dynamic Programming,2025,12,Theory,Easy,6,0.58
Data Structures,Dynamic Programming,2023,15,Problem,Hard,6,0.63
Data Structures,Dynamic Programming,2025,8,Problem,Hard,6,0.74
Data Structures,Dynamic Programming,2023,10,Theory,Easy,6,0.78
Data Structures,Dynamic Programming,2025,12,Problem,Easy,6,0.7
Operating Systems,Processes,2023,8,Short Answer,Medium,2,0.93
Operating Systems,Processes,2025,10,MCQ,Medium,2,0.92
Operating Systems,Threads,2021,5,Short Answer,Hard,3,0.99
Operating Systems,Threads,2025,5,Problem,Medium,3,0.66
Operating Systems,Threads,2022,10,MCQ,Hard,3,0.62
Operating Systems,Scheduling,2024,10,MCQ,Hard,6,0.87
Operating Systems,Scheduling,2024,10,Short Answer,Easy,6,0.63
Operating Systems,Scheduling,2020,5,Short Answer,Easy,6,0.59
Operating Systems,Scheduling,2020,8,Problem,Hard,6,0.95
Operating Systems,Scheduling,2025,12,Problem,Hard,6,0.68
Operating Systems,Scheduling,2020,12,Long Answer,Easy,6,0.61
Operating Systems,Deadlocks,2022,15,Theory,Hard,5,0.88
Operating Systems,Deadlocks,2023,5,Long Answer,Easy,5,0.66
Operating Systems,Deadlocks,2022,10,Short Answer,Medium,5,0.93
