subject,unit,topic,difficulty,importance,resource_type,exam_frequency,rating,downloads
Data Structures,Unit 1,Arrays,Easy,Low,PPT,4,4.3,164
Data Structures,Unit 1,Linked Lists,Medium,Medium,Video,9,4.86,456
Data Structures,Unit 1,Stacks,Medium,Low,PPT,2,3.84,84
Data Structures,Unit 1,Queues,Medium,Medium,Book,8,4.37,230
Data Structures,Unit 1,Trees,Medium,Medium,Notes,7,5.0,136
Data Structures,Unit 1,Binary Search Trees,Medium,Low,Book,5,3.73,147
Data Structures,Unit 1,Heaps,Easy,Very High,Notes,4,4.81,90
Data Structures,Unit 1,Hashing,Easy,High,PPT,1,4.07,477
Data Structures,Unit 1,Graphs,Hard,Medium,Notes,10,3.75,98
Operating Systems,Unit 1,Process Management,Medium,High,Notes,8,4.5,210
Operating Systems,Unit 2,Memory Management,Hard,Very High,PPT,9,4.2,180
Operating Systems,Unit 3,File Systems,Medium,Medium,Video,5,4.0,150
Database Management,Unit 1,ER Diagrams,Easy,High,PPT,7,4.6,320
Database Management,Unit 2,Normalization,Hard,Critical,Notes,10,4.9,500
Database Management,Unit 3,SQL Queries,Medium,High,Video,8,4.7,400
Computer Networks,Unit 1,OSI Model,Medium,High,Notes,9,4.4,280
Computer Networks,Unit 2,TCP/IP,Hard,Critical,PPT,10,4.8,350
Software Engineering,Unit 1,Agile Methodology,Easy,Medium,Video,4,4.1,120
Software Engineering,Unit 2,SDLC Models,Medium,High,Notes,7,4.3,190
Theory of Computation,Unit 1,Finite Automata,Hard,High,Notes,8,4.0,110
Theory of Computation,Unit 2,Context Free Grammars,Hard,High,PPT,7,3.9,95
Artificial Intelligence,Unit 1,Search Algorithms,Medium,High,Video,6,4.5,230
Artificial Intelligence,Unit 2,Neural Networks,Hard,Very High,Notes,9,4.7,310
Cloud Computing,Unit 1,Virtualization,Medium,Medium,PPT,5,4.2,140
Cloud Computing,Unit 2,AWS Services,Easy,High,Video,8,4.6,260
Cyber Security,Unit 1,Cryptography,Hard,Critical,Notes,10,4.8,380
Cyber Security,Unit 2,Network Security,Medium,High,PPT,7,4.4,220
Data Structures,Unit 2,Graph Traversal BFS,Easy,Very High,PYQ,2,4.82,108
Data Structures,Unit 2,Graph Traversal DFS,Medium,Low,PYQ,4,4.22,467
Data Structures,Unit 3,Shortest Path Algorithms,Easy,Very High,PPT,8,4.86,164
Data Structures,Unit 4,Minimum Spanning Tree,Medium,Low,Notes,1,4.1,315
Data Structures,Unit 4,Sorting Algorithms,Medium,Very High,Video,6,4.46,90
Data Structures,Unit 5,Searching Algorithms,Medium,Low,Video,7,3.85,262
Data Structures,Unit 5,Dynamic Programming,Easy,Low,Video,10,4.37,118
Data Structures,Unit 5,Greedy Algorithms,Easy,Very High,PPT,6,4.39,109
DBMS,Unit 1,ER Model,Easy,Low,Book,3,4.8,421
DBMS,Unit 1,Relational Model,Hard,High,Book,6,4.91,489
DBMS,Unit 2,SQL Basics,Easy,High,Video,7,4.14,286
DBMS,Unit 2,Joins,Easy,Very High,PPT,4,4.98,373
DBMS,Unit 3,Normalization,Easy,High,PPT,1,4.93,330
DBMS,Unit 3,Functional Dependencies,Medium,Very High,Book,2,4.06,474
DBMS,Unit 3,Transactions,Hard,Medium,Video,3,4.93,122
DBMS,Unit 4,Concurrency Control,Easy,Low,Video,9,3.96,268
DBMS,Unit 4,Deadlocks,Easy,Medium,PYQ,9,4.2,489
DBMS,Unit 5,Indexing,Medium,Medium,PPT,9,4.33,374
DBMS,Unit 5,Query Optimization,Medium,High,Video,1,4.43,51
DBMS,Unit 5,NoSQL,Medium,Medium,Book,8,4.41,395
